shape,r,s,n,k,optional_r,imprimitive_prime,admitted_q_mod20,status
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,39188042920538009796907754309646615284279762998889467748298010008056735387071967124938964177,21,1,,"11,19",OPEN
serial,127,14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,78376085841076019593815508619293230568559525997778935496596020016113470774143934249877928354,42,1,,"3,7",OPEN
serial,379,6823,6823,1,0,,"11,19",OPEN
serial,379,6823,13646,2,0,,"3,7",OPEN
serial,379,6823,20469,3,0,,"11,19",OPEN
serial,379,6823,40938,6,0,,"3,7",OPEN
serial,379,6823,47761,7,0,,"11,19",OPEN
serial,379,6823,95522,14,0,,"3,7",OPEN
serial,379,6823,143283,21,0,,"11,19",OPEN
serial,379,6823,286566,42,0,,"3,7",OPEN
serial,379,6823,2585917,1,1,,"11,19",OPEN
serial,379,6823,5171834,2,1,,"3,7",OPEN
serial,379,6823,7757751,3,1,,"11,19",OPEN
serial,379,6823,15515502,6,1,6823,"3,7",OPEN
serial,379,6823,18101419,7,1,,"11,19",OPEN
serial,379,6823,36202838,14,1,,"3,7",OPEN
serial,379,6823,54304257,21,1,,"11,19",OPEN
serial,379,6823,108608514,42,1,,"3,7",OPEN
serial,379,15919,15919,1,0,,"11,19",OPEN
serial,379,15919,31838,2,0,,"3,7",OPEN
serial,379,15919,47757,3,0,,"11,19",OPEN
serial,379,15919,95514,6,0,,"3,7",OPEN
serial,379,15919,111433,7,0,,"11,19",OPEN
serial,379,15919,222866,14,0,,"3,7",OPEN
serial,379,15919,334299,21,0,,"11,19",OPEN
serial,379,15919,668598,42,0,,"3,7",OPEN
serial,379,15919,6033301,1,1,15919,"11,19",OPEN
serial,379,15919,12066602,2,1,,"3,7",OPEN
serial,379,15919,18099903,3,1,,"11,19",OPEN
serial,379,15919,36199806,6,1,,"3,7",OPEN
serial,379,15919,42233107,7,1,,"11,19",OPEN
serial,379,15919,84466214,14,1,,"3,7",OPEN
serial,379,15919,126699321,21,1,,"11,19",OPEN
serial,379,15919,253398642,42,1,,"3,7",OPEN
serial,379,111427,111427,1,0,,"11,19",OPEN
serial,379,111427,222854,2,0,,"3,7",OPEN
serial,379,111427,334281,3,0,,"11,19",OPEN
serial,379,111427,668562,6,0,,"3,7",OPEN
serial,379,111427,779989,7,0,,"11,19",OPEN
serial,379,111427,1559978,14,0,,"3,7",OPEN
serial,379,111427,2339967,21,0,,"11,19",OPEN
serial,379,111427,4679934,42,0,,"3,7",OPEN
serial,379,111427,42230833,1,1,,"11,19",OPEN
serial,379,111427,84461666,2,1,,"3,7",OPEN
serial,379,111427,126692499,3,1,,"11,19",OPEN
serial,379,111427,253384998,6,1,,"3,7",OPEN
serial,379,111427,295615831,7,1,,"11,19",OPEN
serial,379,111427,591231662,14,1,,"3,7",OPEN
serial,379,111427,886847493,21,1,,"11,19",OPEN
serial,379,111427,1773694986,42,1,111427,"3,7",OPEN
serial,379,7401871,7401871,1,0,,"11,19",OPEN
serial,379,7401871,14803742,2,0,,"3,7",OPEN
serial,379,7401871,22205613,3,0,,"11,19",OPEN
serial,379,7401871,44411226,6,0,,"3,7",OPEN
serial,379,7401871,51813097,7,0,,"11,19",OPEN
serial,379,7401871,103626194,14,0,,"3,7",OPEN
serial,379,7401871,155439291,21,0,,"11,19",OPEN
serial,379,7401871,310878582,42,0,,"3,7",OPEN
serial,379,7401871,2805309109,1,1,,"11,19",OPEN
serial,379,7401871,5610618218,2,1,,"3,7",OPEN
serial,379,7401871,8415927327,3,1,,"11,19",OPEN
serial,379,7401871,16831854654,6,1,,"3,7",OPEN
serial,379,7401871,19637163763,7,1,,"11,19",OPEN
serial,379,7401871,39274327526,14,1,,"3,7",OPEN
serial,379,7401871,58911491289,21,1,7401871,"11,19",OPEN
serial,379,7401871,117822982578,42,1,,"3,7",OPEN
serial,7603,319327,319327,1,0,,"11,19",OPEN
serial,7603,319327,638654,2,0,,"3,7",OPEN
serial,7603,319327,957981,3,0,,"11,19",OPEN
serial,7603,319327,1915962,6,0,,"3,7",OPEN
serial,7603,319327,2235289,7,0,,"11,19",OPEN
serial,7603,319327,4470578,14,0,,"3,7",OPEN
serial,7603,319327,6705867,21,0,,"11,19",OPEN
serial,7603,319327,13411734,42,0,,"3,7",OPEN
serial,7603,319327,2427843181,1,1,,"11,19",OPEN
serial,7603,319327,4855686362,2,1,,"3,7",OPEN
serial,7603,319327,7283529543,3,1,,"11,19",OPEN
serial,7603,319327,14567059086,6,1,,"3,7",OPEN
serial,7603,319327,16994902267,7,1,,"11,19",OPEN
serial,7603,319327,33989804534,14,1,319327,"3,7",OPEN
serial,7603,319327,50984706801,21,1,,"11,19",OPEN
serial,7603,319327,101969413602,42,1,,"3,7",OPEN
serial,7603,1262099,1262099,1,0,,"11,19",OPEN
serial,7603,1262099,2524198,2,0,,"3,7",OPEN
serial,7603,1262099,3786297,3,0,,"11,19",OPEN
serial,7603,1262099,7572594,6,0,,"3,7",OPEN
serial,7603,1262099,8834693,7,0,,"11,19",OPEN
serial,7603,1262099,17669386,14,0,,"3,7",OPEN
serial,7603,1262099,26504079,21,0,,"11,19",OPEN
serial,7603,1262099,53008158,42,0,,"3,7",OPEN
serial,7603,1262099,9595738697,1,1,1262099,"11,19",OPEN
serial,7603,1262099,19191477394,2,1,,"3,7",OPEN
serial,7603,1262099,28787216091,3,1,,"11,19",OPEN
serial,7603,1262099,57574432182,6,1,,"3,7",OPEN
serial,7603,1262099,67170170879,7,1,,"11,19",OPEN
serial,7603,1262099,134340341758,14,1,,"3,7",OPEN
serial,7603,1262099,201510512637,21,1,,"11,19",OPEN
serial,7603,1262099,403021025274,42,1,,"3,7",OPEN
