pair_index,c,d,shift,target_survival_count,target_survival_frequency,h_-720_persistent_covered,h_-720_survival_count,h_-720_survival_frequency,h_-360_persistent_covered,h_-360_survival_count,h_-360_survival_frequency,h_0_persistent_covered,h_0_survival_count,h_0_survival_frequency,h_360_persistent_covered,h_360_survival_count,h_360_survival_frequency,h_720_persistent_covered,h_720_survival_count,h_720_survival_frequency,mean_control_frequency_numerator,mean_control_frequency_denominator,mean_control_frequency_decimal,target_minus_mean_control_frequency_numerator,target_minus_mean_control_frequency_denominator,target_minus_mean_control_frequency_decimal,rank_target_survival_frequency,rank_target_excess_above_control_mean,rank_target_deficit_below_control_mean
93,5,8,390868,72,0.280155642023346303501945525292,0,71,0.276264591439688715953307392996,1,0,0,0,72,0.280155642023346303501945525292,1,0,0,0,63,0.245136186770428015564202334630,134,1028,0.130350194552529182879377431907,77,514,0.149805447470817120622568093385,17,9,399
94,5,9,1953368,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,241,193,137
95,5,10,9765868,70,0.272373540856031128404669260700,1,0,0,0,55,0.214007782101167315175097276265,0,70,0.272373540856031128404669260700,0,63,0.245136186770428015564202334630,1,0,0,118,1028,0.114785992217898832684824902724,81,514,0.157587548638132295719844357977,28,6,402
96,5,11,48828368,50,0.194552529182879377431906614786,0,56,0.217898832684824902723735408560,0,48,0.186770428015564202334630350195,0,50,0.194552529182879377431906614786,0,64,0.249027237354085603112840466926,0,45,0.175097276264591439688715953307,213,1028,0.207198443579766536964980544747,-13,1028,-0.0126459143968871595330739299611,176,316,91
97,5,12,244140868,0,0,0,63,0.245136186770428015564202334630,0,61,0.237354085603112840466926070039,1,0,0,0,63,0.245136186770428015564202334630,0,73,0.284046692607003891050583657588,260,1028,0.252918287937743190661478599222,-65,257,-0.252918287937743190661478599222,242,388,19
98,5,13,1220703368,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,243,194,138
99,5,14,6103515868,69,0.268482490272373540856031128405,0,60,0.233463035019455252918287937743,0,65,0.252918287937743190661478599222,0,69,0.268482490272373540856031128405,1,0,0,0,55,0.214007782101167315175097276265,180,1028,0.175097276264591439688715953307,24,257,0.0933852140077821011673151750973,40,41,366
100,5,15,30517578368,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,244,195,139
101,5,16,152587890868,69,0.268482490272373540856031128405,0,68,0.264591439688715953307392996109,0,68,0.264591439688715953307392996109,0,69,0.268482490272373540856031128405,0,67,0.260700389105058365758754863813,0,65,0.252918287937743190661478599222,268,1028,0.260700389105058365758754863813,2,257,0.00778210116731517509727626459144,41,153,255
102,6,0,730,72,0.280155642023346303501945525292,0,72,0.280155642023346303501945525292,0,70,0.272373540856031128404669260700,0,72,0.280155642023346303501945525292,1,0,0,0,60,0.233463035019455252918287937743,202,1028,0.196498054474708171206225680934,43,514,0.0836575875486381322957198443580,18,56,352
103,6,1,734,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,245,196,140
104,6,2,754,67,0.260700389105058365758754863813,0,59,0.229571984435797665369649805447,0,65,0.252918287937743190661478599222,0,67,0.260700389105058365758754863813,0,69,0.268482490272373540856031128405,1,0,0,193,1028,0.187743190661478599221789883268,75,1028,0.0729571984435797665369649805447,55,77,331
105,6,3,854,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,246,197,141
106,6,4,1354,62,0.241245136186770428015564202335,0,68,0.264591439688715953307392996109,1,0,0,0,62,0.241245136186770428015564202335,0,61,0.237354085603112840466926070039,0,59,0.229571984435797665369649805447,188,1028,0.182879377431906614785992217899,15,257,0.0583657587548638132295719844358,111,95,312
107,6,5,3854,45,0.175097276264591439688715953307,0,47,0.182879377431906614785992217899,0,63,0.245136186770428015564202334630,0,45,0.175097276264591439688715953307,1,0,0,0,54,0.210116731517509727626459143969,164,1028,0.159533073929961089494163424125,4,257,0.0155642023346303501945525291829,185,147,262
108,6,6,16354,0,0,0,69,0.268482490272373540856031128405,0,65,0.252918287937743190661478599222,1,0,0,1,0,0,0,71,0.276264591439688715953307392996,205,1028,0.199416342412451361867704280156,-205,1028,-0.199416342412451361867704280156,247,371,37
109,6,7,78854,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,248,198,142
110,6,8,391354,60,0.233463035019455252918287937743,0,64,0.249027237354085603112840466926,0,67,0.260700389105058365758754863813,0,60,0.233463035019455252918287937743,0,58,0.225680933852140077821011673152,1,0,0,189,1028,0.183852140077821011673151750973,51,1028,0.0496108949416342412451361867704,130,110,298
111,6,9,1953854,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,249,199,143
112,6,10,9766354,63,0.245136186770428015564202334630,0,63,0.245136186770428015564202334630,1,0,0,0,63,0.245136186770428015564202334630,0,65,0.252918287937743190661478599222,0,68,0.264591439688715953307392996109,196,1028,0.190661478599221789883268482490,14,257,0.0544747081712062256809338521401,102,101,307
113,6,11,48828854,0,0,0,51,0.198443579766536964980544747082,0,54,0.210116731517509727626459143969,1,0,0,0,49,0.190661478599221789883268482490,0,45,0.175097276264591439688715953307,199,1028,0.193579766536964980544747081712,-199,1028,-0.193579766536964980544747081712,250,363,45
114,6,12,244141354,60,0.233463035019455252918287937743,0,68,0.264591439688715953307392996109,0,68,0.264591439688715953307392996109,0,60,0.233463035019455252918287937743,1,0,0,0,59,0.229571984435797665369649805447,195,1028,0.189688715953307392996108949416,45,1028,0.0437743190661478599221789883268,131,120,288
115,6,13,1220703854,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,251,200,144
116,6,14,6103516354,66,0.256809338521400778210116731518,0,75,0.291828793774319066147859922179,1,0,0,0,66,0.256809338521400778210116731518,0,76,0.295719844357976653696498054475,1,0,0,151,1028,0.146887159533073929961089494163,113,1028,0.109922178988326848249027237354,69,30,378
117,6,15,30517578854,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,252,201,145
118,6,16,152587891354,0,0,0,60,0.233463035019455252918287937743,1,0,0,1,0,0,0,69,0.268482490272373540856031128405,0,62,0.241245136186770428015564202335,191,1028,0.185797665369649805447470817121,-191,1028,-0.185797665369649805447470817121,253,356,53
119,7,0,2188,60,0.233463035019455252918287937743,0,72,0.280155642023346303501945525292,0,65,0.252918287937743190661478599222,0,60,0.233463035019455252918287937743,0,59,0.229571984435797665369649805447,0,75,0.291828793774319066147859922179,271,1028,0.263618677042801556420233463035,-31,1028,-0.0301556420233463035019455252918,132,329,77
120,7,1,2192,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,254,202,146
121,7,2,2212,66,0.256809338521400778210116731518,0,63,0.245136186770428015564202334630,0,76,0.295719844357976653696498054475,0,66,0.256809338521400778210116731518,0,80,0.311284046692607003891050583658,0,59,0.229571984435797665369649805447,278,1028,0.270428015564202334630350194553,-7,514,-0.0136186770428015564202334630350,70,319,90
122,7,3,2312,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,255,203,147
123,7,4,2812,62,0.241245136186770428015564202335,0,58,0.225680933852140077821011673152,1,0,0,0,62,0.241245136186770428015564202335,0,66,0.256809338521400778210116731518,1,0,0,124,1028,0.120622568093385214007782101167,31,257,0.120622568093385214007782101167,112,23,385
124,7,5,5312,0,0,0,57,0.221789883268482490272373540856,0,50,0.194552529182879377431906614786,1,0,0,0,48,0.186770428015564202334630350195,0,46,0.178988326848249027237354085603,201,1028,0.195525291828793774319066147860,-201,1028,-0.195525291828793774319066147860,256,366,42
125,7,6,17812,59,0.229571984435797665369649805447,1,0,0,0,66,0.256809338521400778210116731518,0,59,0.229571984435797665369649805447,0,66,0.256809338521400778210116731518,0,62,0.241245136186770428015564202335,194,1028,0.188715953307392996108949416342,21,514,0.0408560311284046692607003891051,142,124,285
126,7,7,80312,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,257,204,148
