h,pair_index,c,d,shift,survival_count,survival_frequency_numerator,survival_frequency_denominator,survival_frequency_decimal,first_winning_k,last_winning_k,longest_consecutive_winning_run,never_wins,wins_every_k,leave_anchor_out_survival_count,leave_anchor_out_frequency_numerator,leave_anchor_out_frequency_denominator,leave_anchor_out_frequency_decimal
-720,113,6,11,48828854,51,51,257,0.198443579766536964980544747082,-128,121,3,0,0,,,,
-720,114,6,12,244141354,68,68,257,0.264591439688715953307392996109,-123,125,3,0,0,,,,
-720,116,6,14,6103516354,75,75,257,0.291828793774319066147859922179,-128,124,3,0,0,,,,
-720,118,6,16,152587891354,60,60,257,0.233463035019455252918287937743,-127,125,3,0,0,,,,
-720,119,7,0,2188,72,72,257,0.280155642023346303501945525292,-122,127,3,0,0,,,,
-720,121,7,2,2212,63,63,257,0.245136186770428015564202334630,-126,126,3,0,0,,,,
-720,123,7,4,2812,58,58,257,0.225680933852140077821011673152,-126,124,3,0,0,,,,
-720,124,7,5,5312,57,57,257,0.221789883268482490272373540856,-120,128,3,0,0,,,,
-720,129,7,10,9767812,68,68,257,0.264591439688715953307392996109,-126,126,3,0,0,,,,
-720,131,7,12,244142812,68,68,257,0.264591439688715953307392996109,-124,127,3,0,0,,,,
-720,136,8,0,6562,55,55,257,0.214007782101167315175097276265,-128,124,3,0,0,,,,
-720,138,8,2,6586,66,66,257,0.256809338521400778210116731518,-128,128,3,0,0,,,,
-720,141,8,5,9686,51,51,257,0.198443579766536964980544747082,-127,126,3,0,0,,,,
-720,144,8,8,397186,57,57,257,0.221789883268482490272373540856,-128,125,3,0,0,,,,
-720,146,8,10,9772186,66,66,257,0.256809338521400778210116731518,-127,125,3,0,0,,,,
-720,147,8,11,48834686,51,51,257,0.198443579766536964980544747082,-123,126,3,0,0,,,,
-720,148,8,12,244147186,64,64,257,0.249027237354085603112840466926,-127,125,3,0,0,,,,
-720,152,8,16,152587897186,67,67,257,0.260700389105058365758754863813,-128,128,3,0,0,,,,
-720,155,9,2,19708,71,71,257,0.276264591439688715953307392996,-126,127,3,0,0,,,,
-720,157,9,4,20308,73,73,257,0.284046692607003891050583657588,-118,123,3,0,0,,,,
-720,158,9,5,22808,49,49,257,0.190661478599221789883268482490,-121,128,3,0,0,,,,
-720,161,9,8,410308,64,64,257,0.249027237354085603112840466926,-125,127,3,0,0,,,,
-720,163,9,10,9785308,67,67,257,0.260700389105058365758754863813,-116,127,3,0,0,,,,
-720,164,9,11,48847808,53,53,257,0.206225680933852140077821011673,-125,127,2,0,0,,,,
-720,167,9,14,6103535308,74,74,257,0.287937743190661478599221789883,-121,124,3,0,0,,,,
-720,169,9,16,152587910308,66,66,257,0.256809338521400778210116731518,-125,127,2,0,0,,,,
-720,170,10,0,59050,63,63,257,0.245136186770428015564202334630,-124,122,3,0,0,,,,
-720,172,10,2,59074,71,71,257,0.276264591439688715953307392996,-123,128,3,0,0,,,,
-720,174,10,4,59674,57,57,257,0.221789883268482490272373540856,-127,121,3,0,0,,,,
-720,176,10,6,74674,64,64,257,0.249027237354085603112840466926,-127,121,3,0,0,,,,
-720,178,10,8,449674,71,71,257,0.276264591439688715953307392996,-123,125,3,0,0,,,,
-720,180,10,10,9824674,69,69,257,0.268482490272373540856031128405,-128,125,3,0,0,,,,
-720,182,10,12,244199674,71,71,257,0.276264591439688715953307392996,-128,122,3,0,0,,,,
-720,184,10,14,6103574674,59,59,257,0.229571984435797665369649805447,-127,125,3,0,0,,,,
