point_ordinal,mask_index,class_index,point_index,n,T,mask_sha256
180,180,12,2,207581354714,24,04f5ed7ef9ea58bccfd380fc7755f3689aaf4a92a8dced3c3133797c14ea6a14
181,181,13,2,207964727354,35,14a1e3a4ddd28f35bb17665856a72aa90d22c785f4cc36bdf96530521ee0e12e
182,182,14,2,208036071154,51,7009c885a7c6a5091ca51e24dd51c7f5cf6385ad0b7edc3d63273337dcbbfc19
183,183,15,2,208074710234,27,59a0f2909e21fe7958412dad709a2a52be5d024e813ead513e97049b7d6d5b4c
184,184,16,2,208174923074,29,6e23d6f5d3bd2f32b4e5955c6e84eb94232b9b8b69f79d2ecb87c1ecd78d5a29
185,185,17,2,208183347514,50,171fe281a78884c38517761e10eec75569c124328c52ea3448d76a5133f5dca1
186,186,18,2,208240525514,47,bebabca88e6d4f5fa63b23621bf76c18ac162ed2f72097983e3d6b2c99b36070
187,187,19,2,208244301194,28,d82d463b30a9b33fd1ab08f419f2af4a8ab4cf094fced4207ee01541a7f0860f
188,188,20,2,208410116474,28,945d2b68b091b35609ca0d213463484b4e702cbd9b75dbcb45beb52280878dce
189,189,21,2,208413892154,26,e78f15cbe49b2dc9d310dfb201e021a8886324f34d7a8ecb76f8d1605ce80021
190,190,22,2,208526992354,62,53a0c62b1404a7f001de4718a8aaf01d8f599368a748e12da836f1b0449567fe
191,191,23,2,208579707434,34,0cb4150900cf99e18da7f4b5bd9073b88b8f4b007e841b49e939fa9f6bfcf630
192,192,24,2,209022877874,33,1aaba5b03575f30ba23dbbb2daa7b6ebda1c4e4d661ede5891ae915d86148e64
193,193,25,2,209192468834,24,1e88209857933f8b14c1ef8bd1c5ab598036b2f15484ad587134bc972b6476fd
194,194,26,2,209766844154,27,7ab991243e93f692e2cc7b352ff5504f3f523fddc6ebee525689eaba3dd1f8e2
195,195,27,2,209870832674,31,9399c71c4af615c6c40983ead81302f4078e2b13aa636bae35e325c6716233b5
196,196,28,2,209901571714,53,8a4cbb274baa481fce73e3239c74340960a8c02c5164cee12fca9b8b15984555
197,197,29,2,209940210794,19,94c1803989dbc23a8d51229ac99073fe85c3d5c56ce913743ed6d53bdd41430f
198,198,30,2,210025006274,24,9f2fec632c0ec8dfb59360dad9bf5b6205ecc89df5ed5c2ad8dc94f3dbb750d0
199,199,31,2,210125219114,30,3cbdb215d39f2cca6a83233c042951b5a71efeb851b7ed5522f1604126b2298f
200,200,32,2,210194597234,30,856bdd1f854946e6f17459ee826b4c9f78361f2d64a832e6f170946e18ceb671
201,201,33,2,210379605554,27,3b433948a52ac281edafeb3e8192439a064bd003e84950def311536b25b75c8b
202,202,34,2,210445207994,30,4ac21d83c9cdd6a9500b7af06c8449e2a6ee4a6cd911045c218d8317b9d15f40
203,203,35,2,210803582954,33,baf5683eb4f85550fbcc3afc2e3d2aa0e40b6dc46209e1b2deb597a99a4b2f77
204,204,36,2,211142764874,31,0d2f020cccd80f2a6f18d8dc47cc1cd4b2c1756fe1a008a83a473d98f529fe94
205,205,37,2,211208367314,33,15bafab1842f5f52324c12764be3bde8361f75a4bfb098cbdc5b2f6960cdd5bc
206,206,38,2,211377958274,28,6994f75dbd2889d087fcbd78a7e8ac42d12e0d23b4a4ae47242b078ee32923b6
207,207,39,2,211472519554,52,e149c416f52ef10851bccee473752385af5793eaccd3e5be0f6c917af600c336
208,208,40,2,211821128714,32,7d03478c76e7421481051e1b7ed8c01562a5da4570d4747033a15677cb876180
209,209,41,2,211890506834,32,2a821a846b2886a06018fe289560a9d3d14c15f1fc622fe5dff6e9f64cf82218
210,210,42,2,211905924194,20,084cb07265248ec48b95552524e0612be2708788919ee4f520b0b505b3f6a6aa
211,211,43,2,211975302314,30,39e28dec2406d67b92f1ede145da889cdd5fb45d437dc9ccb876e4e5c33a52c7
212,212,44,2,211990719674,30,21f55beba71c6bc65ffdbcaeb98bfdb8849bd501aed3d21ba7fe03db157876eb
213,213,45,2,212075515154,38,5d33c55f1eed9c651505806f2ac75d509b1cbe6379fb49ede264f1b6ae0725bb
214,214,46,2,212141117594,31,90cb192979be539254191b3f9569d4771bebd194786d08e4c6c1b9a4284b631a
215,215,47,2,212245106114,21,37b968be663917e0ad054fb5a74dbdcbda324fcb0605bd0e5852ddad22d64bf3
216,216,48,2,212314484234,25,dbc5eec33cca8ad526ce603a33de39ae743bd0add102cbc8150b0aee5d691640
217,217,49,2,212669083514,31,9c3e811f8c85a7e0f966a984c907c82f9ec4100a743cbeb384ae2146d14928ee
218,218,50,2,212699822554,49,a3999b62353091403bdd3969f079aba96d6e915d01bda935061eee34d4cca997
219,219,51,2,212753878994,25,8f3e364dd61938fda57b66a133a698e8dff3206da32002b31334f57ecb3dbadd
220,220,52,2,212904276914,37,1ae372eca95ff48e4d1158b6e46c4ca86222466f6a0fd25b1d721eca10665577
221,221,53,2,213073867874,22,626dd8386b81c5f8ad19659d7f7f8c43a03f5ff6283eec1d847edaa76faf59c3
222,222,54,2,213077643554,28,eb3bfc2ca70abc3a38c8c69e84a040c87d570fa541fe1c1ab82e2569862ca68b
