record_type,low_or_n,high,exposure_levels,component_ids
sparse_integer,239294307089,239294307089,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239294864234,239294864234,E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK;E4_DIRECT_ORACLE_OR_WITNESS_VERIFIED,P5_FAMILY_U_CENSUS
sparse_integer,239301302114,239301302114,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,LEGACY_COMPLETE_PRIOR_REGISTRY_V1;P4_CALIBRATION_AND_G231
sparse_integer,239310227954,239310227954,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,LEGACY_COMPLETE_PRIOR_REGISTRY_V1;P4_CALIBRATION_AND_G231
sparse_integer,239314690874,239314690874,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,LEGACY_COMPLETE_PRIOR_REGISTRY_V1;P4_CALIBRATION_AND_G231
sparse_integer,239322533618,239322533618,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239322533978,239322533978,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239322534338,239322534338,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239322534698,239322534698,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239322535058,239322535058,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239337005474,239337005474,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,LEGACY_COMPLETE_PRIOR_REGISTRY_V1;P4_CALIBRATION_AND_G231
sparse_integer,239350761587,239350761587,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
