n,H8,live_projection_digest,full_mask_digest,CRT_class,confirmed_E1_E4_intersection,conservative_superset_intersection,unknown_exposure,confirmed_exact_T_intersection,possible_exact_T_intersection
200305736714,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,451716194,False,UNKNOWN,True,False,UNKNOWN
208209568034,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,451716194,False,UNKNOWN,True,False,UNKNOWN
216113399354,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,451716194,False,UNKNOWN,True,False,UNKNOWN
224017230674,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,451716194,False,UNKNOWN,True,False,UNKNOWN
231921061994,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,451716194,False,UNKNOWN,True,False,UNKNOWN
239824893314,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,451716194,False,UNKNOWN,True,False,UNKNOWN
184538240354,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,c295c242d5a78a3dca44c4bc604cc6cccb8ea0fc737bb32206b533fab8ba7fdc,491882474,False,UNKNOWN,True,False,UNKNOWN
192442071674,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,c295c242d5a78a3dca44c4bc604cc6cccb8ea0fc737bb32206b533fab8ba7fdc,491882474,False,UNKNOWN,True,False,UNKNOWN
200345902994,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,c295c242d5a78a3dca44c4bc604cc6cccb8ea0fc737bb32206b533fab8ba7fdc,491882474,False,UNKNOWN,True,False,UNKNOWN
208249734314,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,c295c242d5a78a3dca44c4bc604cc6cccb8ea0fc737bb32206b533fab8ba7fdc,491882474,False,UNKNOWN,True,False,UNKNOWN
